date,MP_pm,CBI_pm,MP_median,CBI_median,pc1,SP500
2012-01-25,-0.01802415,-0.0,-0.02694354,0.00891939,-0.01802415,0.30319
2012-03-13,0.0,0.00805751,0.00270337,0.00535414,0.00805751,0.02241
2012-04-25,0.0,0.0,0.00098177,-0.00098177,0.0,-0.0166
2012-06-20,0.01631926,0.0,0.009776,0.00654326,0.01631926,-0.02733
2012-08-01,0.01274371,0.0,0.01623685,-0.00349314,0.01274371,-0.1668
2012-09-13,0.0,0.01577163,-0.0282545,0.04402613,0.01577163,0.61107
2012-10-24,0.0,0.0,8.339e-05,-8.339e-05,0.0,-0.00141
2012-12-12,-0.00356494,-0.0,-0.02505452,0.02148958,-0.00356494,0.39349
2013-01-30,-0.0,-0.00338589,0.00286222,-0.00624811,-0.00338589,-0.07702
2013-03-20,0.0,0.00183907,-0.00553648,0.00737555,0.00183907,0.10916
2013-05-01,0.0,0.00112635,-0.00774815,0.0088745,0.00112635,0.14053
2013-06-19,0.00475918,0.0,0.00614461,-0.00138543,0.00475918,-0.06366
2013-07-31,-0.0,-0.00411828,-0.00013405,-0.00398423,-0.00411828,-0.03255
2013-09-18,-0.01518739,-0.0,-0.06719709,0.0520097,-0.01518739,1.00779
2013-10-30,0.00221336,0.0,0.01847807,-0.01626471,0.00221336,-0.29372
2013-12-18,0.0,0.00135158,-0.04424307,0.04559465,0.00135158,0.7595
2014-01-29,0.00327533,0.0,0.02547689,-0.02220156,0.00327533,-0.40308
2014-03-19,0.01611501,0.0,0.02016519,-0.00405018,0.01611501,-0.20472
2014-04-30,0.0,0.00110668,-0.00048461,0.00159129,0.00110668,0.01755
2014-06-18,0.0,0.00695083,-0.01532131,0.02227214,0.00695083,0.31782
2014-07-30,-0.00584415,-0.0,-0.02639344,0.02054929,-0.00584415,0.39686
2014-09-17,0.0,0.0137226,-0.00785221,0.02157481,0.0137226,0.24878
2014-10-29,0.0218359,0.0,0.02830176,-0.00646586,0.0218359,-0.29393
2014-12-17,-0.04968888,-0.0,-0.06868336,0.01899448,-0.04968888,0.74124
2015-01-28,-0.0,-0.00589892,0.01193557,-0.01783449,-0.00589892,-0.25168
2015-03-18,-0.06350085,-0.0,-0.11601336,0.05251251,-0.06350085,1.42474
