fomc_date,days_after,date,btc_close,btc_log_return,btc_cumulative_return,spx_close,spx_log_return,spx_cumulative_return
2012-01-25,1,2012-01-26,,,,1318.4301,-0.005771,-0.005771
2012-01-25,2,2012-01-27,,,,1316.33,-0.001594,-0.007365
2012-01-25,3,2012-01-28,,,,,,
2012-01-25,4,2012-01-29,,,,,,
2012-01-25,5,2012-01-30,,,,1313.01,,-0.00989
2012-01-25,6,2012-01-31,,,,1312.41,-0.000457,-0.010347
2012-01-25,7,2012-02-01,,,,1324.09,0.00886,-0.001487
2012-01-25,8,2012-02-02,,,,1325.54,0.001095,-0.000392
2012-01-25,9,2012-02-03,,,,1344.9,0.0145,0.014107
2012-01-25,10,2012-02-04,,,,,,
2012-01-25,11,2012-02-05,,,,,,
2012-01-25,12,2012-02-06,,,,1344.33,,0.013684
2012-01-25,13,2012-02-07,,,,1347.05,0.002021,0.015705
2012-01-25,14,2012-02-08,,,,1349.96,0.002158,0.017863
2012-03-13,1,2012-03-14,,,,1394.28,-0.001197,-0.001197
2012-03-13,2,2012-03-15,,,,1402.6,0.005949,0.004752
2012-03-13,3,2012-03-16,,,,1404.17,0.001119,0.005871
2012-03-13,4,2012-03-17,,,,,,
2012-03-13,5,2012-03-18,,,,,,
2012-03-13,6,2012-03-19,,,,1409.75,,0.009837
2012-03-13,7,2012-03-20,,,,1405.52,-0.003005,0.006832
2012-03-13,8,2012-03-21,,,,1402.89,-0.001873,0.004959
2012-03-13,9,2012-03-22,,,,1392.78,-0.007233,-0.002273
2012-03-13,10,2012-03-23,,,,1397.11,0.003104,0.000831
2012-03-13,11,2012-03-24,,,,,,
2012-03-13,12,2012-03-25,,,,,,
2012-03-13,13,2012-03-26,,,,1416.51,,0.014621
2012-03-13,14,2012-03-27,,,,1412.52,-0.002821,0.0118
2012-04-25,1,2012-04-26,,,,1399.98,0.006658,0.006658
2012-04-25,2,2012-04-27,,,,1403.36,0.002411,0.009069
2012-04-25,3,2012-04-28,,,,,,
2012-04-25,4,2012-04-29,,,,,,
2012-04-25,5,2012-04-30,,,,1397.91,,0.005178
2012-04-25,6,2012-05-01,,,,1405.8199,0.005642,0.010821
2012-04-25,7,2012-05-02,,,,1402.3101,-0.0025,0.008321
2012-04-25,8,2012-05-03,,,,1391.5699,-0.007688,0.000633
2012-04-25,9,2012-05-04,,,,1369.1,-0.016279,-0.015646
2012-04-25,10,2012-05-05,,,,,,
2012-04-25,11,2012-05-06,,,,,,
2012-04-25,12,2012-05-07,,,,1369.58,,-0.015296
2012-04-25,13,2012-05-08,,,,1363.72,-0.004288,-0.019584
2012-04-25,14,2012-05-09,,,,1354.58,-0.006725,-0.026309
2012-06-20,1,2012-06-21,,,,1325.51,-0.022513,-0.022513
2012-06-20,2,2012-06-22,,,,1335.02,0.007149,-0.015364
2012-06-20,3,2012-06-23,,,,,,
2012-06-20,4,2012-06-24,,,,,,
2012-06-20,5,2012-06-25,,,,1313.72,,-0.031448
2012-06-20,6,2012-06-26,,,,1319.99,0.004761,-0.026686
2012-06-20,7,2012-06-27,,,,1331.85,0.008945,-0.017742
2012-06-20,8,2012-06-28,,,,1329.04,-0.002112,-0.019854
2012-06-20,9,2012-06-29,,,,1362.16,0.024615,0.004761
2012-06-20,10,2012-06-30,,,,,,
2012-06-20,11,2012-07-01,,,,,,
2012-06-20,12,2012-07-02,,,,1365.51,,0.007217
2012-06-20,13,2012-07-03,,,,1374.02,0.006213,0.01343
2012-06-20,14,2012-07-04,,,,,,
2012-08-01,1,2012-08-02,,,,1365.0,-0.007532,-0.007532
2012-08-01,2,2012-08-03,,,,1390.99,0.018861,0.011329
2012-08-01,3,2012-08-04,,,,,,
2012-08-01,4,2012-08-05,,,,,,
2012-08-01,5,2012-08-06,,,,1394.23,,0.013656
2012-08-01,6,2012-08-07,,,,1401.35,0.005094,0.01875
2012-08-01,7,2012-08-08,,,,1402.22,0.000621,0.01937
2012-08-01,8,2012-08-09,,,,1402.8,0.000414,0.019784
2012-08-01,9,2012-08-10,,,,1405.87,0.002186,0.02197
2012-08-01,10,2012-08-11,,,,,,
2012-08-01,11,2012-08-12,,,,,,
2012-08-01,12,2012-08-13,,,,1404.11,,0.020717
2012-08-01,13,2012-08-14,,,,1403.9301,-0.000128,0.020589
2012-08-01,14,2012-08-15,,,,1405.53,0.001139,0.021728
2012-09-13,1,2012-09-14,,,,1465.77,0.003951,0.003951
2012-09-13,2,2012-09-15,,,,,,
2012-09-13,3,2012-09-16,,,,,,
2012-09-13,4,2012-09-17,,,,1461.1899,,0.000822
2012-09-13,5,2012-09-18,,,,1459.3199,-0.001281,-0.000459
2012-09-13,6,2012-09-19,,,,1461.05,0.001185,0.000726
2012-09-13,7,2012-09-20,,,,1460.26,-0.000541,0.000185
2012-09-13,8,2012-09-21,,,,1460.15,-7.5e-05,0.00011
2012-09-13,9,2012-09-22,,,,,,
2012-09-13,10,2012-09-23,,,,,,
2012-09-13,11,2012-09-24,,,,1456.89,,-0.002126
2012-09-13,12,2012-09-25,,,,1441.59,-0.010557,-0.012683
2012-09-13,13,2012-09-26,,,,1433.3199,-0.005753,-0.018436
2012-09-13,14,2012-09-27,,,,1447.15,0.009603,-0.008833
2012-10-24,1,2012-10-25,,,,1412.97,0.002991,0.002991
2012-10-24,2,2012-10-26,,,,1411.9399,-0.000729,0.002262
