Date,btc_close,btc_r0,btc_r1,btc_r2,btc_r3,btc_r5,btc_r7,btc_r9,spx_close,spx_r0,spx_r1,spx_r2,spx_r3,spx_r5,spx_r7,spx_r9,zt_close,zt_r0,zt_r1,zt_r2,zt_r3,zt_r5,zt_r7,zt_r9,NFCI,mps,MPS_ORTH,MP_median,CBI_median,s_Overall,s_Households,s_Firms,s_Financial_Sector,s_Government,s_Central_Bank
2012-02-15,4.69,-0.042,-0.081,-0.046,-0.145,-0.097,-0.081,0.012,1343.23,-0.005,0.006,0.008,0.008,0.008,0.005,0.011,110.234,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.381,-0.012,-0.035,-0.027,0.009,-0.197,-0.357,-0.294,-0.07,-0.647,-0.096
2012-04-03,4.99,-0.01,-0.006,-0.008,-0.01,-0.057,-0.049,-0.022,1413.38,-0.004,-0.014,-0.015,-0.015,-0.015,-0.043,-0.022,110.008,-0.001,-0.0,-0.0,-0.0,-0.0,0.001,0.001,-0.436,0.022,-0.009,0.003,0.005,-0.118,-0.224,-0.043,0.143,-0.714,-0.308
2012-05-16,5.04,0.018,0.014,0.024,0.024,0.026,0.03,0.026,1324.8,-0.005,-0.02,-0.027,-0.027,-0.011,-0.009,-0.01,110.219,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.322,0.013,0.001,0.001,-0.001,-0.257,-0.125,-0.116,-0.13,-1.0,-0.488
2012-07-11,7.14,0.008,0.07,0.07,0.064,0.159,0.24,0.176,1341.45,0.0,-0.005,0.011,0.011,0.009,0.023,0.016,110.203,0.0,0.0,0.0,0.0,0.001,0.001,0.001,-0.3,0.029,0.034,0.01,0.007,-0.401,-0.296,-0.434,-0.478,-0.467,-0.385
2012-08-22,9.96,-0.003,0.003,0.037,0.056,0.076,0.076,0.017,1413.49,0.0,-0.008,-0.001,-0.001,-0.002,-0.002,-0.005,110.195,0.0,0.001,0.0,0.0,0.001,0.0,0.001,-0.427,0.023,0.011,0.016,-0.003,-0.344,-0.436,-0.296,-0.163,-0.455,-0.487
2012-10-04,12.57,-0.026,-0.031,-0.04,-0.097,-0.073,-0.065,-0.085,1461.4,0.007,0.007,0.007,0.007,-0.007,-0.013,-0.016,110.25,-0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.529,0.024,-0.007,-0.028,0.044,-0.333,-0.32,-0.455,-0.154,-0.857,-0.277
2012-11-14,10.97,0.009,0.016,0.053,0.062,0.069,0.071,0.112,1355.49,-0.014,-0.016,-0.011,-0.011,0.009,0.012,0.025,110.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.548,0.009,-0.007,0.0,-0.0,-0.29,0.048,-0.509,-0.163,-0.556,-0.436
2013-01-03,13.19,0.008,0.008,0.005,0.005,0.031,0.067,0.059,1459.37,-0.002,0.003,0.003,0.003,-0.004,0.007,0.007,110.195,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.601,0.004,-0.012,-0.025,0.021,-0.33,-0.115,-0.286,-0.417,-0.5,-0.44
2013-02-20,30.0,0.021,0.021,0.034,0.005,0.035,0.063,0.162,1511.95,-0.012,-0.019,-0.01,-0.01,-0.029,-0.01,-0.008,110.203,0.0,0.0,0.0,0.0,0.001,0.001,0.001,-0.651,0.006,-0.014,0.003,-0.006,-0.146,0.024,-0.208,-0.059,-0.059,-0.368
2013-04-10,162.0,-0.346,-1.01,-0.734,-0.916,-1.129,-0.934,-0.665,1587.73,0.012,0.016,0.013,0.013,-0.01,-0.011,-0.009,110.25,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.672,0.012,-0.012,-0.006,0.007,-0.249,0.0,-0.05,-0.382,-0.556,-0.37
