Date,btc_close,btc_r0,btc_r1,btc_r2,btc_r3,btc_r5,btc_r7,btc_r9,spx_close,spx_r0,spx_r1,spx_r2,spx_r3,spx_r5,spx_r7,spx_r9,zt_close,zt_r0,zt_r1,zt_r2,zt_r3,zt_r5,zt_r7,zt_r9,NFCI,mps,MPS_ORTH,MP_median,CBI_median,s_Overall,s_Households,s_Firms,s_Financial_Sector,s_Government,s_Central_Bank
2012-01-25,6.31,-0.037,-0.175,-0.108,-0.288,-0.16,-0.108,-0.039,1326.06,0.009,0.003,0.001,0.001,-0.001,0.007,0.023,110.367,0.0,0.001,0.001,0.001,0.001,0.0,0.0,-0.283,-0.012,-0.035,-0.027,0.009,-0.303,-0.321,-0.158,-0.306,-0.818,-0.271
2012-04-25,5.14,0.012,-0.02,-0.008,-0.034,-0.016,-0.004,-0.002,1390.69,0.013,0.02,0.023,0.023,0.019,0.022,-0.002,110.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.013,0.001,0.001,-0.001,-0.292,-0.333,-0.333,-0.409,-0.6,-0.178
2012-06-20,6.64,0.037,0.037,0.029,0.008,-0.022,0.014,0.019,1355.69,-0.002,-0.024,-0.017,-0.017,-0.033,-0.019,0.003,110.148,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.242,0.029,0.034,0.01,0.007,-0.224,0.0,-0.4,-0.418,-0.31,-0.114
2012-09-13,11.3,0.014,0.032,0.043,0.053,0.067,0.097,0.072,1459.99,0.016,0.02,0.02,0.02,0.016,0.016,0.016,110.258,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.481,0.024,-0.007,-0.028,0.044,-0.07,0.209,0.0,-0.243,-0.714,-0.175
2012-12-12,13.49,0.007,0.01,0.009,-0.001,-0.014,0.001,-0.014,1428.48,0.0,-0.006,-0.01,-0.01,0.002,0.006,0.002,110.25,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.565,0.004,-0.012,-0.025,0.021,-0.387,-0.37,-0.13,-0.432,-0.692,-0.329
2013-03-20,64.2,0.077,0.195,0.162,0.072,0.234,0.407,0.415,1558.71,0.007,-0.002,0.006,0.006,0.002,0.009,0.013,110.234,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.657,0.012,-0.012,-0.006,0.007,-0.364,-0.065,-0.067,-0.458,-0.733,-0.49
2013-06-19,105.24,0.007,-0.018,-0.026,-0.044,-0.049,-0.056,-0.15,1628.93,-0.014,-0.039,-0.037,-0.037,-0.049,-0.03,-0.028,110.195,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002,-0.001,-0.654,0.011,-0.0,0.006,-0.001,-0.197,0.289,-0.133,-0.151,-0.455,-0.392
2013-09-18,127.0,0.001,-0.022,-0.032,-0.028,-0.034,-0.029,0.0,1725.52,0.012,0.01,0.002,0.002,-0.002,-0.008,-0.008,110.188,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-0.666,-0.004,-0.01,-0.067,0.052,-0.252,-0.121,-0.059,-0.236,-0.619,-0.294
2013-12-18,520.0,-0.261,0.015,-0.101,-0.126,-0.03,0.006,0.066,1810.65,0.016,0.016,0.02,0.02,0.026,0.029,0.033,110.234,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.778,0.012,-0.014,-0.044,0.046,-0.17,0.0,0.133,-0.242,-0.226,-0.304
2014-03-19,611.2,-0.004,-0.043,-0.074,-0.082,-0.046,-0.054,-0.201,1860.77,-0.006,-0.0,-0.003,-0.003,-0.008,-0.011,-0.008,110.008,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0,-0.781,0.025,0.004,0.02,-0.004,-0.502,-0.351,-0.778,-0.368,-1.0,-0.554
2014-06-18,607.0,0.001,-0.022,-0.031,-0.025,-0.031,-0.079,-0.011,1956.98,0.007,0.009,0.01,0.01,0.01,0.009,0.009,109.938,0.0,0.001,0.001,0.001,0.001,0.001,0.001,-0.794,0.017,0.012,-0.015,0.022,-0.371,0.045,-0.25,-0.655,-1.0,-0.513
2014-09-17,452.09,-0.025,-0.087,-0.158,-0.126,-0.147,-0.09,-0.138,2001.57,0.001,0.006,0.006,0.006,-0.003,-0.001,-0.008,109.82,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.707,0.025,0.037,-0.008,0.022,-0.488,-0.244,-0.579,-0.778,1.0,-0.513
2014-12-17,322.0,-0.022,-0.051,-0.033,0.008,0.008,-0.018,-0.002,2012.89,0.02,0.043,0.048,0.048,0.052,0.053,0.057,109.75,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,-0.617,-0.053,-0.04,-0.069,0.019,-0.252,0.333,-0.407,-0.579,0.2,-0.306
2015-03-18,256.45,-0.098,-0.077,-0.077,-0.084,-0.061,-0.136,-0.132,2099.5,0.013,0.008,0.017,0.017,0.015,-0.006,-0.006,109.844,0.002,0.001,0.002,0.002,0.002,0.002,0.002,-0.534,-0.065,-0.055,-0.116,0.053,-0.352,0.087,-0.308,-0.737,0.143,-0.462
2015-06-17,247.76,-0.009,-0.007,-0.026,-0.021,-0.016,-0.04,-0.029,2100.44,0.001,0.011,0.006,0.006,0.012,0.005,0.002,109.695,0.0,0.0,0.001,0.001,-0.0,0.0,-0.001,-0.545,-0.038,-0.051,-0.041,-0.001,-0.227,0.127,0.0,-0.314,0.0,-0.494
2015-09-17,232.17,0.017,0.021,0.007,0.008,0.009,0.024,0.024,1990.2,-0.003,-0.019,-0.019,-0.019,-0.027,-0.032,-0.033,109.531,0.002,0.002,0.002,0.002,0.002,0.003,0.002,-0.398,-0.058,-0.037,-0.043,-0.027,-0.322,0.292,-0.448,-0.659,0.0,-0.446
2015-12-16,455.87,-0.019,-0.018,-0.004,-0.006,-0.059,-0.048,-0.02,2073.07,0.013,-0.002,-0.02,-0.02,-0.012,0.009,0.007,108.906,-0.001,-0.001,-0.0,-0.0,-0.0,-0.001,-0.001,-0.403,0.029,0.039,0.004,0.02,-0.351,0.094,-0.212,-0.683,1.0,-0.433
2016-03-16,416.57,0.002,0.006,-0.019,-0.016,-0.01,0.004,-0.0,2027.22,0.006,0.013,0.017,0.017,0.018,0.011,0.011,109.148,0.002,0.002,0.002,0.002,0.002,0.002,0.002,-0.347,-0.082,-0.085,-0.058,-0.027,-0.376,0.065,-0.806,-0.3,-0.556,-0.537
2016-06-15,695.0,0.014,0.112,0.084,0.097,0.064,-0.131,-0.035,2071.5,-0.003,0.0,-0.003,-0.003,0.003,0.004,-0.02,109.508,0.001,0.001,0.001,0.001,0.0,0.0,0.002,-0.361,-0.04,-0.042,-0.019,-0.024,-0.34,0.0,-0.625,-0.44,-0.143,-0.451
2016-09-21,595.46,-0.009,-0.009,0.001,-0.003,0.009,0.005,0.012,2163.12,0.009,0.015,0.009,0.009,0.001,0.012,0.011,109.242,0.0,0.0,0.001,0.001,0.001,0.001,0.001,-0.336,-0.023,-0.019,-0.035,-0.0,-0.266,0.302,-0.161,-0.581,0.333,-0.564
2016-12-14,777.09,0.002,0.0,0.007,0.016,0.019,0.071,0.164,2253.28,-0.007,-0.003,-0.005,-0.005,-0.003,-0.001,-0.002,108.477,-0.001,-0.002,-0.002,-0.002,-0.001,-0.001,-0.001,-0.448,0.047,0.038,0.033,0.004,-0.242,0.17,0.053,-0.75,0.0,-0.373
2017-03-15,1257.32,0.009,-0.061,-0.151,-0.251,-0.184,-0.183,-0.293,2385.26,0.006,0.005,0.003,0.003,0.001,-0.009,-0.011,108.352,0.001,0.001,0.001,0.001,0.001,0.002,0.002,-0.483,-0.051,-0.045,-0.04,-0.007,-0.139,0.364,0.235,-0.31,-0.429,-0.376
2017-06-14,2450.0,-0.099,-0.11,-0.085,-0.028,-0.041,-0.018,-0.008,2437.92,-0.002,-0.005,-0.004,-0.004,0.004,-0.003,-0.002,108.297,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.558,0.029,0.034,0.012,0.007,-0.183,0.043,0.2,-0.24,-0.25,-0.293
2017-09-20,3874.46,-0.004,-0.072,-0.074,-0.029,0.007,0.077,0.069,2508.24,0.001,-0.002,-0.002,-0.002,-0.004,0.0,0.005,108.086,-0.001,-0.001,-0.001,-0.001,-0.0,-0.001,-0.001,-0.56,0.058,0.063,0.03,0.012,-0.333,0.143,-0.1,-0.448,0.0,-0.509
2017-12-13,16250.0,-0.024,-0.015,0.048,0.142,0.129,-0.011,-0.173,2662.85,-0.002,-0.006,0.003,0.003,0.008,0.004,0.006,107.398,0.001,0.0,-0.0,-0.0,-0.0,-0.001,-0.001,-0.607,0.001,-0.002,-0.007,0.002,-0.121,0.321,0.154,-0.467,-0.304,-0.192
2018-03-21,8893.79,-0.001,-0.023,0.002,-0.041,-0.089,-0.116,-0.262,2711.93,-0.001,-0.027,-0.048,-0.048,-0.021,-0.041,-0.028,106.492,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-0.507,0.004,0.0,-0.021,0.02,-0.346,-0.125,-0.214,-0.509,0.412,-0.514
2018-06-13,6307.4,-0.039,0.013,-0.026,-0.011,0.023,0.03,-0.081,2775.63,-0.004,-0.002,-0.003,-0.003,-0.005,-0.007,-0.012,105.953,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,-0.555,0.029,0.027,0.017,0.001,-0.254,0.013,0.04,-0.455,-0.6,-0.365
2018-09-26,6461.51,0.005,0.039,0.028,0.023,0.022,0.004,0.024,2905.97,-0.004,-0.001,-0.001,-0.001,0.003,0.003,-0.011,105.555,0.0,0.0,0.0,0.0,-0.002,-0.003,-0.003,-0.598,0.005,0.009,-0.013,0.014,-0.257,0.067,-0.032,-0.373,-0.625,-0.38
2018-12-19,3684.5,0.005,0.105,0.046,0.082,0.096,0.038,0.058,2506.96,-0.016,-0.032,-0.053,-0.053,-0.08,-0.032,-0.024,105.82,-0.0,-0.001,-0.0,-0.0,0.001,0.0,0.001,-0.428,0.03,0.062,0.067,-0.044,-0.168,0.244,0.231,-0.533,0.091,-0.29
2019-01-30,3437.35,0.014,0.006,0.013,0.021,0.006,-0.008,0.066,2681.05,0.01,0.019,0.02,0.02,0.026,0.029,0.02,106.043,0.001,0.002,0.001,0.001,0.001,0.001,0.002,-0.506,-0.02,-0.007,-0.058,0.033,-0.302,0.4,-0.097,-0.333,-0.364,-0.446
2019-03-20,4031.59,0.008,-0.006,-0.004,-0.004,-0.023,0.006,0.022,2824.23,-0.003,0.008,-0.011,-0.011,-0.012,-0.009,0.001,106.238,0.001,0.001,0.002,0.002,0.003,0.004,0.003,-0.6,-0.027,-0.007,-0.046,0.014,-0.182,0.257,-0.038,-0.22,-0.467,-0.356
2019-05-01,5318.42,0.01,0.022,0.071,0.09,0.076,0.12,0.186,2923.73,-0.01,-0.012,-0.002,-0.002,-0.007,-0.025,-0.024,106.43,-0.001,-0.002,-0.001,-0.001,-0.001,-0.001,0.0,-0.615,-0.037,-0.033,-0.036,-0.011,-0.149,0.333,0.074,-0.455,0.111,-0.305
2019-06-19,9278.27,0.022,0.049,0.119,0.161,0.195,0.353,0.308,2926.46,0.002,0.011,0.01,0.01,0.008,-0.002,0.007,107.371,0.002,0.003,0.002,0.002,0.003,0.002,0.002,-0.573,-0.079,-0.043,-0.048,-0.02,-0.244,0.224,0.022,-0.462,-0.5,-0.426
2019-07-31,10085.34,0.05,0.082,0.093,0.121,0.207,0.222,0.212,2980.38,-0.012,-0.021,-0.028,-0.028,-0.059,-0.045,-0.033,107.203,-0.001,0.002,0.002,0.002,0.005,0.005,0.004,-0.578,0.006,0.005,0.032,0.016,-0.186,0.448,-0.108,-0.324,-0.5,-0.286
2019-09-18,10152.09,-0.003,0.009,-0.001,-0.02,-0.05,-0.189,-0.218,3006.73,0.002,0.002,-0.003,-0.003,-0.003,-0.006,-0.013,107.344,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.001,-0.515,0.044,0.052,0.038,-0.006,-0.226,0.415,-0.4,-0.361,-0.385,-0.269
