filename,raw_chars,cleaned_chars,qa_chars_before,qa_chars_after,qa_chars_removed,qa_lines_before,qa_lines_after,qa_pct_removed
2012-01-25_3ed2784291aa.txt,60401,46756,58449,46759,11690,682,540,20.0
2012-04-25_50ef992a8283.txt,45806,34459,44277,34452,9825,541,419,22.19
2012-06-20_79c28abc4b2f.txt,43003,30587,41554,30571,10983,504,361,26.43
2012-09-13_308865dab1a5.txt,50057,36192,48300,36189,12111,580,428,25.07
2012-12-12_538aa2199882.txt,68892,53391,66544,53381,13163,790,625,19.78
2013-03-20_f16b85f061b3.txt,52586,39530,50870,39518,11352,609,467,22.32
2013-06-19_6a15047dcd69.txt,55743,41289,53936,41283,12653,643,483,23.46
2013-09-18_6a8941abbead.txt,54078,43210,52075,43217,8858,621,513,17.01
2013-12-18_d56881cd2517.txt,62597,48786,60329,48778,11551,725,578,19.15
2014-03-19_70ffb5c71492.txt,46042,36816,44532,36817,7715,532,438,17.32
2014-06-18_678dbe2468fb.txt,42123,31240,40746,31242,9504,488,373,23.32
2014-09-17_1cba8bf7ccd1.txt,44102,34667,42539,34669,7870,509,411,18.5
2014-12-17_1d143b503dd7.txt,45428,35012,43817,35008,8809,525,413,20.1
2015-03-18_b625b1e29a91.txt,42397,30481,40938,30472,10466,502,370,25.57
2015-06-17_a081b134a4da.txt,44903,33044,43401,33041,10360,520,397,23.87
2015-09-17_2245d2072d6c.txt,45470,35643,43861,35642,8219,523,423,18.74
2015-12-16_6b639893d627.txt,52269,39887,50489,39879,10610,604,466,21.01
2016-03-16_4caf057eec95.txt,45755,35879,44262,35881,8381,528,422,18.93
2016-06-15_d11e8ad3a686.txt,41689,33139,40326,33136,7190,482,391,17.83
2016-09-21_2b71b68cc548.txt,48497,36658,46827,36655,10172,562,434,21.72
2016-12-14_0fb574587113.txt,39267,29237,37883,29230,8653,459,344,22.84
2017-03-15_7adac73e47fb.txt,40968,30182,39593,30176,9417,482,362,23.78
2017-06-14_56a0006ab31e.txt,45502,35130,44007,35128,8879,529,414,20.18
2017-09-20_efd7c624ca40.txt,50406,41193,50035,41188,8847,611,499,17.68
2017-12-13_b767fa68cce5.txt,52888,40009,51026,39998,11028,620,481,21.61
2018-03-21_7aef21dce457.txt,42543,28827,41086,28819,12267,501,348,29.86
2018-06-13_309fba24ad48.txt,51868,38442,50213,38436,11777,604,455,23.45
2018-09-26_6f324512c0b2.txt,57398,43213,55428,43198,12230,677,513,22.06
2018-12-19_54256497f4d9.txt,43097,32038,41536,32026,9510,511,389,22.9
2019-01-30_d638d874a1ac.txt,46195,32540,44524,32528,11996,556,403,26.94
2019-03-20_b449063c02b8.txt,43726,31495,42236,31483,10753,520,378,25.46
2019-05-01_8748bd8a3337.txt,39018,28656,37766,28644,9122,463,345,24.15
2019-06-19_d45e80a2cbcd.txt,42314,31208,40918,31194,9724,505,376,23.76
2019-07-31_779a1efc3143.txt,44347,32050,42966,32036,10930,532,390,25.44
2019-09-18_d41014e4d265.txt,50978,37242,49214,37226,11988,595,437,24.36
2019-10-30_4a58c09e7cbc.txt,46497,31834,44934,31816,13118,558,385,29.19
2019-12-11_a4bc758d93ef.txt,52062,39360,50460,39348,11112,609,465,22.02
2020-01-29_29fe1e6e1a22.txt,54800,39986,53004,39984,13020,646,485,24.56
2020-03-03_396d409c64b0.txt,13654,9361,13194,9354,3840,161,110,29.1
2020-03-15_9fcdd17ea257.txt,41687,32341,41470,32333,9137,513,390,22.03
2020-04-29_75fa1d80d83f.txt,45697,35985,44284,35983,8301,546,431,18.74
2020-06-10_7d1587ab96e1.txt,58562,46058,56961,46067,10894,693,551,19.13
2020-07-29_4ed9f4535f09.txt,56901,45162,55261,45155,10106,680,534,18.29
2020-09-16_e4d3602d8a95.txt,62956,49188,60851,49181,11670,747,587,19.18
2020-11-05_a8836ace9126.txt,48332,36933,46749,36927,9822,564,433,21.01
2020-12-16_741f4e4aa0bf.txt,59111,46320,57169,46312,10857,700,553,18.99
2021-01-27_7c17d07806cd.txt,54145,43076,52362,43072,9290,652,522,17.74
2021-03-17_5ca1e46f2828.txt,59277,45520,57423,45512,11911,708,549,20.74
2021-04-28_3594d3c63689.txt,56415,42699,54604,42691,11913,678,515,21.82
2021-06-16_558dd30c133e.txt,59932,46203,58082,46201,11881,706,544,20.46
2021-07-28_721ba054d4cb.txt,55004,41741,53225,41740,11485,665,512,21.58
2021-09-22_5d0e7e230a1e.txt,53110,39430,51254,39417,11837,638,478,23.09
2021-11-03_a82457808dc9.txt,55625,39185,53662,39177,14485,662,469,26.99
2021-12-15_55bdf48e90cb.txt,61360,47501,59336,47491,11845,720,555,19.96
2022-01-26_d85c18ad1219.txt,54766,41252,52964,41247,11717,656,498,22.12
2022-03-16_1a8393729ff9.txt,51793,37975,50076,37965,12111,611,453,24.19
2022-05-04_95af0afca85b.txt,46663,32724,45169,32714,12455,551,381,27.57
2022-06-15_d85704193a66.txt,54474,42821,52804,42815,9989,638,500,18.92
2022-07-27_b5394eb170d7.txt,55442,41902,53649,41890,11759,676,506,21.92
2022-09-21_ff19aaf3d3f7.txt,41513,31502,40032,31492,8540,497,378,21.33
2022-11-02_322253c306c4.txt,44929,35800,43386,35794,7592,528,420,17.5
2022-12-14_9cadf01f18c0.txt,45050,34751,43492,34745,8747,539,414,20.11
2023-02-01_5a64793c9307.txt,45073,33345,43541,33328,10213,544,394,23.46
2023-03-22_72852382c0f3.txt,44632,31479,43168,31458,11710,541,371,27.13
2023-05-03_a154db380b72.txt,49903,37802,48484,37786,10698,593,441,22.07
2023-06-14_4684511cac55.txt,50635,38212,49109,38205,10904,611,459,22.2
2023-07-26_2beaa65386af.txt,53419,38014,51651,37992,13659,654,456,26.44
2023-09-20_f486dbe15bdf.txt,55668,40628,53928,40616,13312,662,479,24.68
2023-11-01_dd68f422b763.txt,52616,39367,50871,39350,11521,627,464,22.65
2023-12-13_b81dd96c4f4b.txt,45649,33249,44041,33232,10809,553,397,24.54
2024-01-31_411d6f95b946.txt,52832,37823,51227,37801,13426,638,449,26.21
2024-03-20_0f4a6b322c18.txt,46665,33431,45139,33411,11728,567,396,25.98
2024-05-01_34e76e360a50.txt,49574,36306,48008,36284,11724,597,428,24.42
2024-06-12_161af4891298.txt,53961,40867,52420,40856,11564,638,477,22.06
2024-07-31_1debc57987a9.txt,48557,36566,47012,36550,10462,588,436,22.25
2024-09-18_ba3580e1039d.txt,49944,35505,48175,35484,12691,596,417,26.34
2024-11-07_3b30af1759d9.txt,43094,32092,41607,32072,9535,532,390,22.92
2024-12-18_84210accc3ad.txt,55284,42977,53411,42965,10446,654,510,19.56
2025-01-29_e97c56a390f5.txt,51799,37184,50064,37159,12905,628,437,25.78
2025-03-19_73dd2782d31b.txt,53140,39704,51429,39686,11743,645,474,22.83
2025-05-07_0ef320a7cf07.txt,48727,35145,47278,35124,12154,592,422,25.71
2025-06-18_2d421482d4ff.txt,54334,40855,52759,40841,11918,657,488,22.59
2025-07-30_8a4d361ff26a.txt,45783,33373,44367,33353,11014,554,396,24.82
2025-09-17_2c8a0da3e702.txt,51196,37571,49438,37551,11887,610,459,24.04
2025-10-29_f924a0fc09b8.txt,54227,41865,52441,41849,10592,645,493,20.2
2025-12-10_8f4c4de27c2d.txt,51821,39345,50026,39335,10691,622,468,21.37
